CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-21358-786218,Certified,2022-01-03,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,San Diego,CA,101192.0
I-200-19030-213913,Certified,2019-02-11,"Elementary School Teachers, Except Special Education",Splendora Independent School District,Splendora,TX,Splendora,TX,57203.0
I-200-21060-109376,Certified,2021-03-08,"Software Developers, Applications","Amadeus North America, Inc.",Doral,FL,Newton,MA,96242.0
I-200-22129-148239,Certified,2022-05-13,Database Architects,Tekhqs Inc.,Irvine,CA,Irvine,CA,89835.0
I-200-23058-806905,Certified,2023-03-06,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Sykesville,MD,102648.0
I-200-22071-974059,Certified,2022-03-18,"Software Developers, Applications","Staples, Inc.",Framingham,MA,Framingham,MA,119933.0
I-200-21209-489573,Certified,2021-08-04,"Software Developers, Applications","West Pharmaceutical Services, Inc.",Exton,PA,Exton,PA,108493.0
I-200-19318-145498,Certified,2019-11-21,"Computer Occupations, All Other","Hcl America, Inc.",Sunnyvale,CA,Redmond,WA,94203.0
I-200-21155-369346,Certified,2021-06-11,Molecular And Cellular Biologists,University Of Miami,Miami,FL,Miami,FL,41392.0
I-200-22125-138539,Certified - Withdrawn,2022-06-01,"Software Developers, Applications",Schonfeld Strategic Advisors Llc,New York,NY,New York,NY,87547.0
I-200-21109-238820,Certified,2021-04-26,"Software Developers, Systems Software",Amazon.com Services Llc,Seattle,WA,Tallahassee,FL,54850.0
I-200-20169-661900,Certified,2020-06-24,"Software Developers, Applications",Exa Data Solutions Inc.,Piscataway,NJ,Watertown,MA,91874.0
I-200-22126-144997,Certified,2022-05-13,Business Intelligence Analysts,Good Manager Holdings Inc,Corte Madera,CA,Corte Madera,CA,72696.0
I-200-19030-537401,Certified,2019-02-05,"Software Developers, Applications",Larsen & Toubro Infotech Limited,Edison,NJ,Princeton,NJ,87464.0
I-200-19080-396622,Certified,2019-03-27,"Software Developers, Applications",Anira Solutions Inc,Ashburn,VA,Ashburn,VA,72862.0
I-200-23172-131154,Certified,2023-06-28,Computer Systems Analysts,Sierra Digital Inc,Houston,TX,Frankfort,KY,71739.0
I-200-19044-119583,Certified,2019-02-20,Instructional Coordinators,"Knowledgelink Group, Inc.",Waltham,MA,Waltham,MA,55619.0
I-200-19037-348953,Certified,2019-03-13,"Software Developers, Applications","Republic Services, Inc.",Phoenix,AZ,Scottsdale,AZ,81266.0
I-200-19009-733744,Certified,2019-01-15,"Software Developers, Applications","Cerebra Consulting, Inc.",Malvern,PA,Spring,TX,91915.0
I-200-19221-372321,Certified,2019-08-15,"Software Developers, Applications","Adeptia, Inc.",Chicago,IL,Chicago,IL,81931.0
I-200-20090-444646,Certified,2020-04-06,Computer Systems Analysts,Ibm Corporation,Durham,NC,San Jose,CA,120390.0
I-200-19075-127408,Certified,2019-03-21,"Software Developers, Systems Software","Tech Mahindra (Americas),Inc.",Bedminster,NJ,Bellevue,WA,101837.0
I-200-21214-495413,Certified,2021-08-09,"Software Developers, Applications",Jpmorgan Chase & Co.,Chicago,IL,Tampa,FL,120765.0
I-200-20169-661236,Certified,2020-06-24,Bioinformatics Scientists,St. Jude Children's Research Hospital,Memphis,TN,Memphis,TN,64854.0
I-200-22040-887946,Certified,2022-02-16,Computer And Information Research Scientists,Amazon.com Services Llc,Seattle,WA,New York,NY,139339.0
