,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
2412435,I-200-20352-968250,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,116122.0,California,39029342.0
2412436,I-200-20353-968499,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Seattle,WA,104795.0,Washington,7785786.0
2412437,I-200-20353-968598,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Montpelier,VT,72654.0,Vermont,647064.0
2412438,I-200-20352-966812,Certified,2020-12-28,"Software Developers, Applications",V3tech Solutions Inc,Atlanta,GA,85842.0,Georgia,10912876.0
2412439,I-200-20352-966930,Certified,2020-12-28,"Software Developers, Applications",Capgemini America Inc,Houston,TX,90022.0,Texas,30029572.0
2412440,I-200-20352-966060,Certified,2020-12-28,"Software Developers, Applications",Synechron Inc,Charlotte,NC,104042.0,North Carolina,10698973.0
2412441,I-200-20352-966070,Certified,2020-12-28,Computer Systems Analysts,Capgemini America Inc,Maple Grove,MN,97594.0,Minnesota,5717184.0
2412442,I-200-20353-968657,Certified,2020-12-28,"Software Developers, Applications","Bell Systems, Inc",Hopkins,MN,88712.0,Minnesota,5717184.0
2412443,I-200-20353-968315,Certified,2020-12-28,Human Factors Engineers And Ergonomists,"Facebook, Inc.",Menlo Park,CA,93995.0,California,39029342.0
2412444,I-200-20352-968260,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,116122.0,California,39029342.0
2412445,I-200-20352-966074,Certified,2020-12-28,Information Technology Project Managers,Atos Syntel Inc,Riverwoods,IL,75754.0,Illinois,12582032.0
2412446,I-200-20352-966028,Certified,2020-12-28,"Software Developers, Systems Software",Capgemini America Inc,Alpharetta,GA,121139.0,Georgia,10912876.0
2412447,I-200-20352-968227,Certified,2020-12-28,Marketing Managers,"Facebook, Inc.",Seattle,WA,198619.0,Washington,7785786.0
2412448,I-200-20352-966629,Certified,2020-12-28,Automotive Engineers,"Alten Technology Usa, Inc.",Newark,CA,103168.0,California,39029342.0
2412449,I-200-20352-965977,Certified,2020-12-28,Computer Systems Engineers/Architects,L&T Technology Services Limited,Bloomfield,CT,72384.0,Connecticut,3626205.0
2412450,I-200-20352-967123,Certified,2020-12-28,"Software Developers, Applications","Innova Solutions, Inc.",Duluth,GA,103501.0,Georgia,10912876.0
2412451,I-200-20352-965954,Certified,2020-12-28,Computer Programmers,"Tech Mahindra (Americas), Inc",Dallas,TX,78645.0,Texas,30029572.0
2412452,I-200-20352-967629,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",Boulder,CO,96866.0,Colorado,5839926.0
2412453,I-200-20352-967796,Certified,2020-12-28,Database Architects,Unique Key Resources Inc,Collierville,TN,71926.0,Tennessee,7051339.0
